Address,Url,PriceLower,PriceUpper,PropertyType,NumBathrooms,NumBedrooms,NumCarSpaces,CityCode,Lat,Lng,H3Index
"27 Tormore Place, North Adelaide",https://www.realestate.com.au/property-house-sa-north+adelaide-146708108,1800000,1900000,House,2,3,3,Adelaide,-34.90555591207787,138.587435673847,87b91682affffff
"402/53 Gibson Street, Bowden",https://www.realestate.com.au/property-apartment-sa-bowden-147056688,640000,665000,Apartment,1,2,1,Adelaide,-34.90533044007905,138.5776684818856,87b91682affffff
"1D Birks Street, Parkside",https://www.realestate.com.au/property-house-sa-parkside-145238380,2600000,2800000,House,3,4,2,Adelaide,-34.94888565,138.6240828,87b916821ffffff
"18 Elizabeth Street, Eastwood",https://www.realestate.com.au/property-house-sa-eastwood-147188960,1200000,1250000,House,1,2,0,Adelaide,-34.94282291961927,138.62321392723385,87b916821ffffff
"12/333 Fullarton Road, Parkside",https://www.realestate.com.au/property-unit-sa-parkside-147045148,465000,465000,Unit,1,2,1,Adelaide,-34.950917652883376,138.625399163915,87b916821ffffff
"4/121 Kensington Road, Norwood",https://www.realestate.com.au/property-townhouse-sa-norwood-146920980,3000000,3250000,Townhouse,3,4,2,Adelaide,-34.927210986360315,138.63651525176076,87b916823ffffff
"60A Darebin Street, Mile End",https://www.realestate.com.au/property-house-sa-mile+end-146883548,950000,980000,House,3,5,2,Adelaide,-34.92969235609603,138.56570024776676,87b916828ffffff
"59 Henry Street, Stepney",https://www.realestate.com.au/property-house-sa-stepney-147173816,875000,875000,House,1,2,1,Adelaide,-34.91120199556794,138.6323548392521,87b916804ffffff
"71a Gibson Street, Bowden",https://www.realestate.com.au/property-townhouse-sa-bowden-147171760,960000,1000000,Townhouse,2,3,2,Adelaide,-34.90533044007905,138.5776684818856,87b91682affffff
"7 Sheldon Street, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147152812,950000,995000,House,1,3,0,Adelaide,-34.917390432517166,138.6295026015869,87b916804ffffff
"31 Jaffrey Street, Parkside",https://www.realestate.com.au/property-house-sa-parkside-147135580,1050000,1150000,House,1,3,1,Adelaide,-34.942426095588885,138.61387287196422,87b916821ffffff
