"SourceIndex","DestinationIndex","CityCode","DurationCycle","DurationDrive","DurationTransit","DurationWalk"
"87b916953ffffff","87b916820ffffff","Adelaide","1595","905","4115","6898"
"87b916953ffffff","87b916821ffffff","Adelaide","1109","675","4024","4842"
"87b916953ffffff","87b916822ffffff","Adelaide","2207","1197","4422","9387"
"87b916953ffffff","87b916823ffffff","Adelaide","1799","1007","4130","7151"
"87b916953ffffff","87b916824ffffff","Adelaide","1611","831","3639","7203"
"87b916953ffffff","87b916825ffffff","Adelaide","1056","659","5099","4214"
"87b916953ffffff","87b916826ffffff","Adelaide","2343","1292","5800","10660"
"87b916953ffffff","87b916828ffffff","Adelaide","1199","722","2412","4138"
"87b916953ffffff","87b916829ffffff","Adelaide","1423","717","4377","5759"
"87b916953ffffff","87b91682affffff","Adelaide","1784","884","4453","7111"
"87b916953ffffff","87b91682bffffff","Adelaide","1874","819","4986","6707"
"87b916953ffffff","87b91682cffffff","Adelaide","670","438","2785","2785"
"87b916953ffffff","87b91682dffffff","Adelaide","826","393","2914","2914"
"87b916953ffffff","87b91682effffff","Adelaide","1340","718","1867","5159"
"87b916953ffffff","87b916831ffffff","Adelaide","2804","1525","3645","11847"
"87b916953ffffff","87b916833ffffff","Adelaide","3426","1779","3599","13592"
"87b916953ffffff","87b916835ffffff","Adelaide","2621","1452","4627","11584"
"87b916953ffffff","87b916856ffffff","Adelaide","3632","1543","4492","13553"
"87b916953ffffff","87b916872ffffff","Adelaide","2712","1297","6002","11428"
"87b916953ffffff","87b916874ffffff","Adelaide","2213","961","4540","8081"
"87b916953ffffff","87b916876ffffff","Adelaide","2177","1179","5348","8759"
"87b916953ffffff","87b916919ffffff","Adelaide","3702","1904","10613","13154"
"87b916953ffffff","87b916952ffffff","Adelaide","478","313","2065","2065"
"87b916953ffffff","87b916958ffffff","Adelaide","1241","725","2280","4727"
"87b916953ffffff","87b91695affffff","Adelaide","1265","665","3986","5013"
"87b916953ffffff","87b91695bffffff","Adelaide","1847","1029","5634","6959"
"87b916953ffffff","87b91695effffff","Adelaide","706","385","2276","2276"
"87b91680effffff","87b916800ffffff","Adelaide","1459","778","2901","4870"
"87b91680effffff","87b916801ffffff","Adelaide","960","528","3211","3211"
"87b91680effffff","87b916802ffffff","Adelaide","1393","674","2646","4922"
"87b91680effffff","87b916803ffffff","Adelaide","874","472","2489","2489"
"87b91680effffff","87b916804ffffff","Adelaide","2010","971","3480","7423"
"87b91680effffff","87b916805ffffff","Adelaide","1609","868","3840","5611"
"87b91680effffff","87b916806ffffff","Adelaide","1976","1017","5037","7160"
"87b91680effffff","87b916808ffffff","Adelaide","859","497","3018","3018"
"87b91680effffff","87b916809ffffff","Adelaide","1662","903","4600","5641"
"87b91680effffff","87b91680affffff","Adelaide","821","435","1208","3724"
"87b91680effffff","87b91680bffffff","Adelaide","1512","799","3060","5533"
