Address,URL,Lat,Lon
"24 Hallett St, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-146913280,-34.9335162,138.6039438
"57/65 King William Street, Adelaide",https://www.realestate.com.au/property-unit-sa-adelaide-147158808,-34.9238145,138.5993087
"3604/21-59 Grote Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147026528,-34.9295366,138.5977294
"407/39 Grenfell Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146695348,-34.924717,138.6013056
"N1110/68 Elizabeth Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147025184,-34.9269135,138.5919587
"1812/15 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146910916,-34.9221066,138.6047515
"1205/271-281 Gouger Street, Adelaide",https://www.realestate.com.au/property-other-sa-adelaide-145583412,-34.9309707,138.5890411
"411/10 Balfours Way, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147154904,-34.9268926,138.5929649
"106/23 Frew Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146544512,-34.9322849,138.5986402
"1&4/33-45 Stafford Place, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-146801416,,
"801/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145709992,-34.9268506,138.5942012
"214 Carrington Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-146689272,-34.9309032,138.6082352
"1609/180 Franklin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146799840,-34.9272401,138.5921893
"2507/38 Rosina Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147113692,-34.9243246,138.5955929
"1603/180 Franklin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147148876,-34.9268966,138.5923187
"910/421 King William Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147146372,-34.9350922,138.6000089
"1107/10 Balfours Way, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147015124,-34.9267486,138.5926948
"4 Southcott Walk, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-147144356,-34.9331839,138.6101427
"205/10 Balfours Way, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147141360,-34.9270471,138.5927283
"1110/160 Grote Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145696448,-34.9286463,138.5925776
"16 Wakeham Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-146666920,-34.9330168,138.6083721
"242 Gilbert Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-146870256,-34.9346297,138.5912811
"503/23 King William Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146776480,-34.9223201,138.5991445
"104/9 Paxtons Walk, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-145942168,-34.9216945,138.6086816
"205/21-39 Bentham Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-144463760,-34.9269153,138.5975989
"3106/17 Austin Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146766856,-34.9221939,138.6049169
"28 Chatham Street, Adelaide",https://www.realestate.com.au/property-house-sa-adelaide-146645256,-34.932858,138.5910273
"108/267 Hutt Street, Adelaide",https://www.realestate.com.au/property-unit-sa-adelaide-147002168,-34.9344716,138.6121873
"1702/18 Rowlands Place, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145064288,-34.9281832,138.5967693
"32 - 38 Grote Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-139037655,-34.928554,138.5976918
"108/10 Balfours Way, Adelaide",https://www.realestate.com.au/property-other-sa-adelaide-145903680,-34.9269956,138.5930109
"175-177 Halifax Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146888896,-34.9327726,138.608484
"24/21 Pulteney Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147243712,-34.9222463,138.6051423
"202/185 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-147208488,-34.9268327,138.5933326
"80 South Terrace, Adelaide",https://www.realestate.com.au/property-residential+land-sa-adelaide-204072992,-34.9357668,138.5941382
"707/160 Rundle Mall, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146455028,-34.9223499,138.6053407
"205/160 Rundle Mall, Adelaide",https://www.realestate.com.au/property-unit-sa-adelaide-146104824,-34.9224263,138.605335
"204/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-146101224,-34.9266693,138.5939609
"Address available on request, Adelaide",https://www.realestate.com.au/property-residential+land-sa-adelaide-204007588,-34.9284989,138.6007456
"Lot A1, B & C, 22 Moger Lane, Adelaide",https://www.realestate.com.au/property-residential+land-sa-adelaide-203986536,21.0887194,105.6741547
"6/61 Symonds place, Adelaide",https://www.realestate.com.au/property-townhouse-sa-adelaide-145395528,-34.9351309,138.6015435
"Address available on request, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-145150448,-34.9284989,138.6007456
"505A & B/82 King William Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-138478607,,
"UNIT 904A/20 HINDMARSH SQUARE, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-140050815,-34.9233898,138.6066911
"1202/180 Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-133899558,-34.9268477,138.5942609
"601A Morphett Street, Adelaide",https://www.realestate.com.au/property-apartment-sa-adelaide-126515198,-34.9358452,138.5944121
"5/3 Little Grenfell Street, Kent Town",https://www.realestate.com.au/property-townhouse-sa-kent+town-145929212,-34.9196013,138.6211532
"1 & 5/116 Rose Terrace, Wayville",https://www.realestate.com.au/property-townhouse-sa-wayville-145432108,,
"100 Rugby Street, Malvern",https://www.realestate.com.au/property-house-sa-malvern-146996260,-34.9640709,138.6103966
"3 Victoria Avenue, Unley Park",https://www.realestate.com.au/property-house-sa-unley+park-145743936,-34.961717,138.5990381
"12a River Street, St Peters",https://www.realestate.com.au/property-house-sa-st+peters-146853756,-34.9029218,138.6166094
"305/170 The Parade, Norwood",https://www.realestate.com.au/property-apartment-sa-norwood-145922856,-34.9222153,138.6358221
"210/1 Kevin Taylor Lane, Bowden",https://www.realestate.com.au/property-unit-sa-bowden-147120760,-34.9050335,138.5793582
"51 Childers Street, North Adelaide",https://www.realestate.com.au/property-house-sa-north+adelaide-146901576,-34.9043077,138.5932671
"D2 & D3/21 Surrey Rd, Keswick",https://www.realestate.com.au/property-townhouse-sa-keswick-144301700,32.2076566,-110.8396614
"27B Joslin Street, Wayville",https://www.realestate.com.au/property-other-sa-wayville-147116940,-34.9459369,138.5934305
"9-11 Foster Street, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147116508,-34.9161592,138.6370692
"13 Allinga Avenue, Glenside",https://www.realestate.com.au/property-house-sa-glenside-147168700,-34.9412921,138.6368137
"128 The Parade, Norwood",https://www.realestate.com.au/property-apartment-sa-norwood-143425884,-34.9215328,138.6329383
"305/128 The Parade, Norwood",https://www.realestate.com.au/property-apartment-sa-norwood-143818268,-34.9215328,138.6329383
"106 George Street, Norwood",https://www.realestate.com.au/property-house-sa-norwood-147078680,-34.92572,138.6373365
"607/128 The Parade, Norwood",https://www.realestate.com.au/property-apartment-sa-norwood-143818240,-34.9215328,138.6329383
